date,open,high,low,close,volume,rsi_7,macd,bollinger
2021-10-12,143.229996,143.25,141.039993,141.509995,73035900,40.0492058745055,-1.699289091348021,143.84349830000002
2021-10-13,141.240005,141.399994,139.199997,140.910004,78762700,37.11013196437301,-1.7303169685720547,143.43749855
2021-10-14,142.110001,143.880005,141.509995,143.759995,69907100,55.292264339399985,-1.5075581376954688,143.18599865000002
2021-10-15,143.770004,144.899994,143.509995,144.839996,67940300,60.359082188523324,-1.229697912505003,143.12499855
2021-10-18,143.449997,146.839996,143.160004,146.550003,85589200,67.22130475999458,-0.8615766886377969,143.30549860000002
2021-10-19,147.009995,149.169998,146.550003,148.759995,76378900,74.00604301282712,-0.38704842847246823,143.5719987
2021-10-20,148.699997,149.75,148.119995,149.259995,58418800,75.35264087524394,0.029029820129721884,143.74249815000002
2021-10-21,148.809998,149.639999,147.869995,149.479996,61421000,75.99110877760292,0.3722361651014694,143.87499785
2021-10-22,149.690002,150.179993,148.639999,148.690002,58883400,68.55178638269926,0.57386855315508,143.96349805
2021-10-25,148.679993,149.369995,147.619995,148.639999,50720600,68.05976935881398,0.7213139904830541,144.12699824999999
2021-10-26,149.330002,150.839996,149.009995,149.320007,60893400,71.3251057509666,0.882859469979536,144.49749839999998
2021-10-27,149.360001,149.729996,148.490005,148.850006,56094900,65.8930867231594,0.9618724072491034,144.79849860000002
2021-10-28,149.820007,153.169998,149.720001,152.570007,100077900,79.97539563626046,1.3095678377907802,145.35199895
2021-10-29,147.220001,149.940002,146.410004,149.800003,124953200,58.862268081995914,1.3460859575850748,145.70949939999997
2021-11-01,148.990005,149.699997,147.800003,148.960007,74588300,53.83423282712701,1.2923487812691121,146.2004998
2021-11-02,148.660004,151.570007,148.649994,150.020004,69122000,58.99139222703072,1.3200775487563874,146.64599994999998
2021-11-03,150.389999,151.970001,149.820007,151.490005,54511500,65.26867427656222,1.4440237848360766,147.12050019999998
2021-11-04,151.580002,152.429993,150.639999,150.960007,60394600,61.32041988168233,1.482397505014319,147.5040009
2021-11-05,151.889999,152.199997,150.059998,151.279999,65463900,62.90120144081709,1.5210953939857177,147.92300115
2021-11-08,151.410004,151.570007,150.160004,150.440002,55020900,55.904085627107825,1.4670715247298745,148.30450134999998
2021-11-09,150.199997,151.429993,150.059998,150.809998,56787900,58.288501464546066,1.4375417180510226,148.7695015
2021-11-10,150.020004,150.130005,147.850006,147.919998,65187100,39.04759468976818,1.167482277284961,149.1200012
2021-11-11,148.960007,149.429993,147.679993,147.869995,41000000,38.789132085747816,0.9386037607042965,149.3255012
2021-11-12,148.429993,150.399994,147.479996,149.990005,63804000,53.88699534912076,0.9177042532897701,149.58300165
2021-11-15,150.369995,151.880005,149.429993,150.0,59222800,53.94947135384493,0.891669149152591,149.75550149999998
2021-11-16,149.940002,151.490005,149.339996,151.0,59256200,60.2376623957086,0.9408818835277089,149.86750175
2021-11-17,151.0,155.0,150.990005,153.490005,88807000,71.53077690775945,1.167349445975134,150.07900225
2021-11-18,153.710007,158.669998,153.050003,157.869995,137827700,82.01401942767987,1.6808790809869265,150.49850220000002
2021-11-19,157.649994,161.020004,156.529999,160.550003,117305600,85.75777591937126,2.277851608919377,151.09150225000002
2021-11-22,161.679993,165.699997,161.0,161.020004,117467900,86.33954176600646,2.757099662326084,151.71050250000002
2021-11-23,161.119995,161.800003,159.059998,161.410004,96041900,86.8591850532982,3.1322700783874495,152.31500235
2021-11-24,160.75,162.139999,159.639999,161.940002,69463600,87.60664083072864,3.4327906712744323,152.96950214999998
2021-11-26,159.570007,160.449997,156.360001,156.809998,76959800,53.34312518686304,3.2198900683081035,153.18150169999998
2021-11-29,159.369995,161.190002,158.789993,160.240005,88748200,64.24989808762648,3.2900124897070384,153.7035018
2021-11-30,159.990005,165.520004,159.919998,165.300003,174048100,74.5066468158552,3.71110525302862,154.5205016
2021-12-01,167.479996,170.300003,164.529999,164.770004,152052500,71.98297027948774,3.9564503154255988,155.2580016
2021-12-02,158.740005,164.199997,157.800003,163.759995,136739200,66.94178193481517,4.023013959008097,155.8715011
2021-12-03,164.020004,164.960007,159.720001,161.839996,118023100,57.9422295188758,3.876156335501406,156.41550055
2021-12-06,164.289993,167.880005,164.279999,165.320007,107497000,67.25193078696566,3.994531937192704,157.11750095
2021-12-07,169.080002,171.580002,168.339996,171.179993,120405400,77.17686360785399,4.50921789364952,158.15450049999998
2021-12-08,172.130005,175.960007,170.699997,175.080002,116998900,81.52450552471966,5.1721866071852105,159.36800069999998
2021-12-09,174.910004,176.75,173.919998,174.559998,108923700,79.17826628215536,5.591182441354931,160.7000007
2021-12-10,175.210007,179.630005,174.690002,179.449997,115402700,84.17491701101346,6.245823742298683,162.2790008
2021-12-13,181.119995,182.130005,175.529999,175.740005,153237000,69.42781751204346,6.391588092128671,163.5665008
2021-12-14,175.25,177.740005,172.210007,174.330002,139380400,64.42331581783213,6.3204734477832005,164.7830009
2021-12-15,175.110001,179.5,172.309998,179.300003,131063300,72.55779223552074,6.589195974888213,166.19800105
2021-12-16,179.279999,181.139999,170.75,172.259995,150185800,52.65988145528091,6.1630469351569275,167.13650055
2021-12-17,169.929993,173.470001,169.690002,171.139999,195432700,50.109340983682024,5.669590919012421,167.80000074999998
2021-12-20,168.279999,170.580002,167.460007,169.75,107499100,46.825517998916204,5.107486246317848,168.2600006
2021-12-21,171.559998,173.199997,169.119995,172.990005,91185900,54.86852673206678,4.867347813336977,168.85850065
2021-12-22,173.039993,175.860001,172.149994,175.639999,92135300,60.560841556166835,4.835132348029049,169.5700004
2021-12-23,175.850006,176.850006,175.270004,176.279999,68356600,61.91432494901344,4.805845218821673,170.28700025
2021-12-27,177.089996,180.419998,177.070007,180.330002,74919600,69.61327282252019,5.051209157832176,171.46300045
2021-12-28,180.160004,181.330002,178.529999,179.289993,79144300,65.63811509896223,5.102918544147144,172.41549985
2021-12-29,179.330002,180.630005,178.139999,179.380005,62348900,65.8351088534892,5.092459122665787,173.11949995
2021-12-30,179.470001,180.570007,178.089996,178.199997,59773000,60.52794228544594,4.93209900472263,173.7909996
2021-12-31,178.089996,179.229996,177.259995,177.570007,64062300,57.63406629924546,4.699998866679181,174.4815002
2022-01-03,177.830002,182.880005,177.710007,182.009995,104487900,69.58904871778081,4.818779865457884,175.49000015
2022-01-04,182.630005,182.940002,179.119995,179.699997,99310400,59.412778716518346,4.6726536865471076,176.20899965
2022-01-05,179.610001,180.169998,174.639999,174.919998,94537600,43.910933849378225,4.123607287838695,176.3959999
2022-01-06,172.699997,175.300003,171.639999,172.0,96904000,37.0258384588774,3.413515741410862,176.2419998
2022-01-07,172.889999,174.139999,171.029999,172.169998,86709100,37.689439401912765,2.831836840461307,176.12249979999999
2022-01-10,169.080002,172.5,168.169998,172.190002,106765600,37.779450956660476,2.345429623586739,175.75950005
2022-01-11,172.320007,175.179993,170.820007,175.080002,76138300,49.96259028016263,2.1681541160799895,175.7264999
2022-01-12,176.119995,177.179993,174.820007,175.529999,74805200,51.68128717939993,2.040451936511147,175.78649975000002
2022-01-13,175.779999,176.619995,171.789993,172.190002,84505800,39.833522181062584,1.650708850677887,175.4309997
2022-01-14,171.339996,173.779999,171.089996,173.070007,80440800,43.79420493910494,1.3967429133364249,175.4715003
2022-01-18,171.509995,172.539993,169.410004,169.800003,90956700,34.070985297805564,0.9209944335009652,175.40450049999998
2022-01-19,170.0,171.080002,165.940002,166.229996,94815000,26.56010540022403,0.2529744742737421,175.2285003
2022-01-20,166.979996,169.679993,164.179993,164.509995,91420500,23.6318421157945,-0.41049394363102465,174.8044998
2022-01-21,164.419998,166.330002,162.300003,162.410004,122848900,20.424359585309304,-1.0931480380734797,174.14300005
2022-01-24,160.020004,162.300003,154.699997,161.619995,162294600,19.276082009858442,-1.6785541230289596,173.40999985
2022-01-25,158.979996,162.759995,157.020004,159.779999,115798400,16.721574246737873,-2.2648570998683795,172.3824997
2022-01-26,163.5,164.389999,157.820007,159.690002,108275300,16.596071938439678,-2.705580194544666,171.40250014999998
2022-01-27,162.449997,163.839996,158.279999,159.220001,121954600,15.870336666892783,-3.0575362009771254,170.39449995
2022-01-28,165.710007,170.350006,162.800003,170.330002,179935700,61.86266372684133,-2.412173605435868,170.0010002
2022-01-31,170.160004,175.0,169.509995,174.779999,115541600,69.62290013400646,-1.5240729667019934,169.8614998
2022-02-01,174.009995,174.839996,172.309998,174.610001,86213900,68.99717044732276,-0.8244603640848425,169.4915001
2022-02-02,174.75,175.880005,173.330002,175.839996,84914300,71.18334362423649,-0.16881601315589023,169.29850004999997
2022-02-03,174.479996,176.240005,172.119995,172.899994,89418100,59.48595910249731,0.11225921350529688,169.19749984999999
2022-02-04,171.679993,174.100006,170.679993,172.389999,82465400,57.57134249576748,0.29051217782949834,169.2169998
2022-02-07,172.860001,173.949997,170.949997,171.660004,77251200,54.634792442893946,0.3686251592478982,169.1915001
2022-02-08,171.729996,175.350006,171.429993,174.830002,74829200,63.95050583379688,0.6785012653819535,169.3235001
2022-02-09,176.050003,176.649994,174.899994,176.279999,71285000,67.51080928188543,1.0292187586165937,169.38349995000002
2022-02-10,174.139999,175.479996,171.550003,172.119995,90865900,50.73832481939749,0.9604162617648626,169.21299975
2022-02-11,172.330002,173.080002,168.039993,168.639999,98670700,40.83669920348518,0.617959738456392,169.0354996
2022-02-14,167.369995,169.580002,166.559998,168.880005,86185500,41.75133148035938,0.3617568471069035,168.82599950000002
2022-02-15,170.970001,172.949997,170.25,172.789993,62527400,54.97961388930753,0.46881337556979474,168.97549899999999
2022-02-16,171.850006,173.339996,170.050003,172.550003,61177400,54.099826288449385,0.5282024690883418,169.29149935
2022-02-17,171.029999,171.910004,168.470001,168.880005,69589300,42.08488252988447,0.27594961108621874,169.50999985
2022-02-18,169.820007,170.539993,166.190002,167.300003,82772700,37.8614836649038,-0.05086916496770755,169.75449980000002
2022-02-22,164.979996,166.690002,162.149994,164.320007,91162800,31.01312698977347,-0.5440645346399435,169.8895004
2022-02-23,165.539993,166.149994,159.75,160.070007,90009200,23.83864756867166,-1.2633023366949487,169.9040008
2022-02-24,152.580002,162.850006,152.0,162.740005,141147500,34.88012503329773,-1.5994198358925757,170.05650095000001
2022-02-25,163.839996,165.119995,160.869995,164.850006,91974200,42.557993371434904,-1.6762135821482786,170.33800119999998
2022-02-28,163.059998,165.419998,162.429993,165.119995,95056600,43.551542575254544,-1.695739889532149,170.07750085
2022-03-01,164.699997,166.600006,161.970001,163.199997,83474400,38.08607314335407,-1.8448758410205528,169.49850075
2022-03-02,164.389999,167.360001,162.949997,166.559998,79724800,50.71401996342605,-1.6726617535425987,169.09600059999997
2022-03-03,168.470001,168.910004,165.550003,166.229996,76678400,49.55587350055268,-1.544999459894143,168.6155006
2022-03-04,164.490005,165.550003,162.100006,163.169998,83737200,39.73844627038072,-1.6714747174641786,168.1290008
2022-03-07,163.360001,165.020004,159.039993,159.300003,96418800,30.750014422161087,-2.060234423908355,167.47450099999998
2022-03-08,158.820007,162.880005,155.800003,157.440002,131148300,27.28895174571153,-2.4897159326733345,166.7635009
2022-03-09,161.479996,163.410004,159.410004,162.949997,91454900,47.652211324091695,-2.3582877024160496,166.16950065
2022-03-10,160.199997,160.389999,155.979996,158.520004,105342000,37.73861060034895,-2.5818315481983234,165.2815009
2022-03-11,158.929993,159.279999,154.5,154.729996,96970100,31.24962202581733,-3.029886976680757,164.41200095
2022-03-14,151.449997,154.119995,150.100006,150.619995,108732100,25.666191429503115,-3.674262255672062,163.51100075
2022-03-15,150.899994,155.570007,150.380005,155.089996,92964300,39.403879634817756,-3.7806614713413467,162.8215003
2022-03-16,157.050003,160.0,154.460007,159.589996,102300200,50.211048430455264,-3.461963860012844,162.16150045
2022-03-17,158.610001,161.0,157.630005,160.619995,75615400,52.474468570151124,-3.0906542572909075,161.56500004999998
2022-03-18,160.509995,164.479996,159.759995,163.979996,123511700,59.48426367742325,-2.496486776442765,161.3199996
2022-03-21,163.509995,166.350006,163.009995,165.380005,95811400,62.19487490053257,-1.8908393224854763,161.22399969999998
2022-03-22,165.509995,169.419998,164.910004,168.820007,81532000,68.27861078852737,-1.120365068558982,161.4489997
2022-03-23,167.990005,172.639999,167.649994,170.210007,98062700,70.5153652839033,-0.39306626484381013,161.95599969999998
2022-03-24,171.059998,174.139999,170.210007,174.070007,90131400,75.99844740279163,0.4891543507717131,162.5224998
2022-03-25,173.880005,175.279999,172.75,174.720001,80546200,76.84441473687414,1.226629803453136,163.01599955
2022-03-28,172.169998,175.729996,172.0,175.600006,90371900,78.06554950898642,1.8606451033778342,163.5400001
2022-03-29,176.690002,179.009995,176.339996,178.960007,100589400,82.23807442101818,2.6042110722262066,164.3280006
2022-03-30,178.550003,179.610001,176.699997,177.770004,92633200,76.2451366787645,3.0621703689338915,164.8885009
2022-03-31,177.839996,178.029999,174.399994,174.610001,103049300,62.20217707098523,3.13399384790506,165.30750115
2022-04-01,174.029999,174.880005,171.940002,174.309998,78751300,60.958617762927986,3.130618911510311,165.86450115
2022-04-04,174.570007,178.490005,174.440002,178.440002,76468400,70.44769434348606,3.4217571703291583,166.8215011
2022-04-05,177.5,178.300003,174.419998,175.059998,73401800,57.178487573542334,3.341232613331613,167.70250090000002
2022-04-06,172.360001,173.630005,170.130005,171.830002,89058800,47.2551288827538,2.982403349435174,168.14650115
2022-04-07,171.160004,173.360001,169.850006,172.139999,77594700,48.2605548308696,2.692010913625296,168.8275009
2022-04-08,171.779999,171.779999,169.199997,170.089996,76575500,42.07302398383035,2.2702842825648304,169.5955009
2022-04-11,168.710007,169.029999,165.5,165.75,72246700,31.954118661688312,1.5677889872033575,170.35200115
2022-04-12,168.020004,169.869995,166.639999,167.660004,79265200,39.43332130906561,1.1518993855702888,170.98050154999999
2022-04-13,167.389999,171.039993,166.770004,170.399994,70618900,48.843827611391674,1.0315075964210791,171.52100145000003
2022-04-14,170.619995,171.270004,165.039993,165.289993,75329400,36.50337586283163,0.5177930653620422,171.75450135
2022-04-18,163.919998,166.600006,163.570007,165.070007,69023900,36.0459729057801,0.09186065424327694,171.8090019
2022-04-19,165.020004,167.820007,163.910004,167.399994,67723800,44.620671574879516,-0.057026011496418505,171.91000135000002
2022-04-20,168.759995,168.880005,166.100006,167.229996,67929800,44.11717586118882,-0.18658633352612242,171.8305008
2022-04-21,168.910004,171.529999,165.910004,166.419998,87227800,41.51322337344459,-0.3505825934237521,171.64100034999998
2022-04-22,166.460007,167.869995,161.5,161.789993,84882400,29.78819613993805,-0.8444195766093685,171.02699965
2022-04-25,161.119995,163.169998,158.460007,162.880005,96046400,34.84279244993094,-1.134753354585456,170.43499985
2022-04-26,162.25,162.339996,156.720001,156.800003,95623200,23.727035229631497,-1.8343055811526483,169.49499970000002
2022-04-27,155.910004,159.789993,155.380005,156.570007,88063200,23.39760694089668,-2.379831301897269,168.3754997
2022-04-28,159.25,164.520004,158.929993,163.639999,130216800,48.86095308987417,-2.216128942914878,167.66899945
2022-04-29,161.839996,166.199997,157.25,157.649994,131747600,36.777095124121104,-2.5404522349609806,166.8209991
2022-05-02,156.710007,158.229996,153.270004,157.960007,123055300,37.70730365495282,-2.740870275909259,166.00349955
2022-05-03,158.149994,160.710007,156.320007,159.479996,88966500,42.54297047606795,-2.7454052849039385,165.05549925
2022-05-04,159.669998,166.479996,159.259995,166.020004,108256500,58.65437563873138,-2.1959616448296515,164.60349954999998
2022-05-05,163.850006,164.080002,154.949997,156.770004,130525300,40.10004322000895,-2.478352392408709,163.85049965000002
2022-05-06,156.009995,159.440002,154.179993,157.279999,116124600,41.29456534999994,-2.6306720106839236,163.10749965
2022-05-09,154.929993,155.830002,151.490005,152.059998,131577900,33.352291959178714,-3.1364419109202686,162.20599975
2022-05-10,155.520004,156.740005,152.929993,154.509995,115366700,39.70256669614347,-3.301516095881283,161.6439995
2022-05-11,153.5,155.449997,145.809998,146.5,142689800,29.11962227704076,-4.032197567336425,160.5859993
2022-05-12,142.770004,146.199997,138.800003,142.559998,182602000,25.256240533755715,-4.873019990073772,159.1939995
2022-05-13,144.589996,148.100006,143.110001,147.110001,113990900,36.59061279727897,-5.11328780287289,158.2849999
2022-05-16,145.550003,147.520004,144.179993,145.539993,86643800,34.4854056074728,-5.368503533095833,157.3084992
2022-05-17,148.860001,149.770004,146.679993,149.240005,78336300,43.433535042087264,-5.212121697423271,156.40049975
2022-05-18,146.850006,147.360001,139.899994,140.820007,109742900,31.875053795230656,-5.7018836700738404,155.0800003
2022-05-19,139.880005,141.660004,136.600006,137.350006,136095600,28.25928121314095,-6.297430780611194,153.6265007
2022-05-20,139.089996,140.699997,132.610001,137.589996,137426100,28.90996389954914,-6.673117425270249,152.41650085
2022-05-23,137.789993,143.259995,137.649994,143.110001,117726300,42.82547617277748,-6.451069612108313,151.42800065
2022-05-24,140.809998,141.970001,137.330002,140.360001,104132700,38.45089093166261,-6.4229572842793345,150.60600055
2022-05-25,138.429993,141.789993,138.339996,140.520004,92482700,38.87472680981157,-6.314972089720726,149.80350040000002
2022-05-26,137.389999,144.339996,137.139999,143.779999,90601500,47.472709115904884,-5.89834622971361,148.8105004
2022-05-27,145.389999,149.679993,145.259995,149.639999,90978500,59.43798521841046,-5.037247949312416,148.41000065
2022-05-31,149.070007,150.660004,146.839996,148.839996,103718400,57.35701875510897,-4.369011667524404,147.9540001
2022-06-01,149.899994,151.740005,147.679993,148.710007,74286600,56.97885794592414,-3.8060449092286888,147.41550065
2022-06-02,147.830002,151.270004,146.860001,151.210007,72348100,62.523006822966025,-3.12217015661264,146.6750008
2022-06-03,146.899994,147.970001,144.460007,145.380005,88570300,46.292306661519845,-3.015861946937804,146.10550085
2022-06-06,147.029999,148.570007,144.899994,146.139999,71598400,48.33219168012337,-2.837576939962503,145.54850085
2022-06-07,144.350006,149.0,144.100006,148.710007,67808200,55.06538810455734,-2.4605430121048073,145.3810013
2022-06-08,148.580002,149.869995,147.460007,147.960007,53950200,52.72601356370305,-2.196934743702286,145.05350190000001
