date,open,high,low,close,volume,rsi_7
2017-04-27,35.98,36.040001,35.827499,35.947498,56985200,60.299528831847944
2017-04-28,36.022499,36.075001,35.817501,35.912498,83441600,58.3992836057089
2017-05-01,36.275002,36.799999,36.240002,36.645,134411600,76.48953284141413
2017-05-02,36.884998,37.022499,36.709999,36.877499,181408800,79.75031041241994
2017-05-03,36.397499,36.872501,36.067501,36.764999,182788000,73.95958953948816
2017-05-04,36.630001,36.785,36.452499,36.6325,93487600,67.2499514964941
2017-05-05,36.689999,37.244999,36.689999,37.240002,109310800,77.9501550788124
2017-05-08,37.2575,38.424999,37.2575,38.252499,195009600,86.51625874497098
2017-05-09,38.467499,38.720001,38.362499,38.497501,156521600,87.84890774800975
2017-05-10,38.407501,38.485001,38.0275,38.314999,103222800,80.9002632722705
2017-05-11,38.112499,38.517502,38.077499,38.487499,109020400,82.4325521832837
2017-05-12,38.674999,39.105,38.6675,39.025002,130108000,86.39914818210852
2017-05-15,39.002499,39.162498,38.762501,38.924999,104038800,82.36252796472621
2017-05-16,38.985001,39.014999,38.68,38.8675,80194000,79.85970470194961
2017-05-17,38.400002,38.642502,37.427502,37.5625,203070800,44.252615669766016
2017-05-18,37.817501,38.334999,37.782501,38.134998,134272800,54.61056532752872
2017-05-19,38.345001,38.494999,38.157501,38.264999,107843200,56.73995795856576
2017-05-22,38.5,38.645,38.227501,38.497501,91865600,60.59702167050603
2017-05-23,38.724998,38.724998,38.327499,38.450001,79675600,59.33605885887448
2017-05-24,38.459999,38.5425,38.1675,38.334999,76712000,56.04205843172886
2017-05-25,38.432499,38.587502,38.2575,38.467499,76942400,59.09447760159484
2017-05-26,38.5,38.560001,38.327499,38.4025,87710400,56.83573925649118
2017-05-30,38.355,38.607498,38.3325,38.4175,80507600,57.27541073784437
2017-05-31,38.4925,38.5425,38.095001,38.189999,97804800,48.52875591771129
2017-06-01,38.2925,38.3325,38.055,38.294998,65616400,52.43957848844789
2017-06-02,38.395,38.862499,38.2225,38.862499,111082800,67.84515909101447
2017-06-05,38.584999,38.612499,38.365002,38.482498,101326800,54.14424417917945
2017-06-06,38.474998,38.952499,38.445,38.612499,106499600,57.5645741938197
2017-06-07,38.755001,38.994999,38.619999,38.842499,84278400,63.22619362401992
2017-06-08,38.8125,38.884998,38.599998,38.747501,85003200,59.406905230130974
2017-06-09,38.797501,38.797501,36.505001,37.244999,259530800,28.093215195091446
2017-06-12,36.435001,36.522499,35.627499,36.355,289229200,20.592183901344086
2017-06-13,36.790001,36.862499,36.287498,36.647499,136661600,27.966714959367735
2017-06-14,36.875,36.875,35.959999,36.290001,126124800,24.69632520994874
2017-06-15,35.830002,36.119999,35.552502,36.072498,128661600,22.80355038493495
2017-06-16,35.945,36.125,35.549999,35.567501,201444400,18.883292237490593
2017-06-19,35.915001,36.685001,35.915001,36.584999,130165600,42.22925239706327
2017-06-20,36.717499,36.717499,36.235001,36.252499,99600400,38.05379312351836
2017-06-21,36.380001,36.517502,36.1525,36.467499,85063200,42.35367094370983
2017-06-22,36.442501,36.674999,36.279999,36.407501,76425200,41.417678689377986
2017-06-23,36.282501,36.790001,36.2775,36.57,141757600,45.24146592070129
2017-06-26,36.7925,37.07,36.345001,36.455002,102769600,42.92804510971204
2017-06-27,36.252499,36.540001,35.904999,35.932499,99047600,33.773457533772614
2017-06-28,36.122501,36.5275,35.790001,36.4575,88329600,47.01817546996681
2017-06-29,36.177502,36.282501,35.57,35.919998,125997600,37.95220351097253
2017-06-30,36.112499,36.240002,35.945,36.005001,92096400,40.08374702712444
2017-07-03,36.220001,36.325001,35.775002,35.875,57111200,37.76870357297054
2017-07-05,35.922501,36.197498,35.68,36.022499,86278400,42.1884241654369
2017-07-06,35.755001,35.875,35.602501,35.682499,96515200,35.4228311912766
2017-07-07,35.724998,36.1875,35.724998,36.044998,76806800,46.16211333015253
2017-07-10,36.0275,36.487499,35.842499,36.264999,84362400,51.833695283071755
2017-07-11,36.182499,36.462502,36.095001,36.3825,79127200,54.800657544672205
2017-07-12,36.467499,36.544998,36.205002,36.435001,99538000,56.20685915180828
2017-07-13,36.375,37.122501,36.360001,36.942501,100797600,67.58122773402515
2017-07-14,36.9925,37.3325,36.8325,37.259998,80528400,72.74750630702552
2017-07-17,37.205002,37.724998,37.142502,37.389999,95174000,74.67537782811924
2017-07-18,37.299999,37.532501,37.1675,37.52,71475200,76.6061060571065
2017-07-19,37.619999,37.855,37.487499,37.755001,83692000,79.8465041566837
2017-07-20,37.875,37.935001,37.547501,37.584999,68974800,71.48917947978633
2017-07-21,37.497501,37.610001,37.220001,37.567501,105010400,70.60180215707295
2017-07-24,37.645,38.110001,37.474998,38.022499,85972800,78.64374492370106
2017-07-25,37.950001,38.459999,37.950001,38.185001,75415600,80.82890474795892
2017-07-26,38.337502,38.482498,38.264999,38.365002,63124000,83.06780327396112
2017-07-27,38.4375,38.497501,36.825001,37.639999,129905200,53.6343078168905
2017-07-28,37.4725,37.557499,37.297501,37.375,68854800,46.59401853447747
2017-07-31,37.474998,37.5825,37.032501,37.182499,79383600,41.929536444944056
2017-08-01,37.275002,37.555,37.102501,37.512501,141474400,51.61674622652192
2017-08-02,39.82,39.9375,39.040001,39.285,279747200,76.34469744960234
2017-08-03,39.262501,39.302502,38.755001,38.892502,108389200,67.44018662094044
2017-08-04,39.017502,39.349998,38.922501,39.0975,82239600,69.60068502948866
2017-08-07,39.264999,39.73,39.1675,39.702499,87481200,75.25427225096017
2017-08-08,39.650002,40.4575,39.567501,40.02,144823600,77.78394567678782
2017-08-09,39.814999,40.317501,39.7775,40.264999,104526000,79.6561900021045
2017-08-10,39.974998,40.0,38.657501,38.830002,163217200,50.547241182908934
2017-08-11,39.150002,39.642502,39.017502,39.369999,105028400,57.38422465967865
2017-08-14,39.830002,40.052502,39.6875,39.962502,88490800,63.79221639600697
2017-08-15,40.165001,40.549999,40.035,40.400002,117862000,67.94451175700078
2017-08-16,40.485001,40.627499,40.037498,40.237499,110686400,64.72783448842358
2017-08-17,40.130001,40.177502,39.459999,39.465,111762400,51.26694204964452
2017-08-18,39.465,39.875,39.18,39.375,109712400,49.85763437202372
2017-08-21,39.375,39.4725,38.7775,39.302502,105474000,48.60202915372504
2017-08-22,39.557499,40.0,39.505001,39.945,86418400,59.22038176506497
2017-08-23,39.767502,40.1175,39.720001,39.994999,77596400,59.971174980810126
2017-08-24,40.107498,40.185001,39.637501,39.817501,79275600,55.722198182473456
2017-08-25,39.912498,40.139999,39.817501,39.965,101920400,58.56809472824958
2017-08-28,40.035,40.5,39.982498,40.3675,103864000,65.60594517697263
2017-08-29,40.025002,40.779999,40.0,40.727501,118067600,70.78444415116483
2017-08-30,40.950001,40.9725,40.6525,40.837502,109078400,72.27266817522279
